,City Name,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
60,leningradskiy,RU,69.38,178.42,37.22,90,100,11.3
61,tuktoyaktuk,CA,69.45,-133.04,50.0,81,40,10.29
62,sri aman,MY,1.24,111.46,75.11,100,100,1.07
63,shimoda,JP,34.67,138.95,71.01,94,100,18.61
64,bedford,GB,52.13,-0.47,66.61,63,75,10.29
65,fecamp,FR,49.76,0.37,67.5,82,90,9.17
66,kokoda,PG,-8.88,147.74,72.3,71,2,1.07
67,saint-philippe,RE,-21.36,55.77,70.5,69,3,8.05
68,russell,US,32.35,-85.2,80.56,83,1,0.04
69,lake charles,US,30.21,-93.2,82.85,88,5,4.7
70,japura,ID,-0.32,102.35,73.51,93,100,2.64
71,puerto ayora,EC,-0.74,-90.35,68.0,95,98,7.99
72,forio,IT,40.73,13.86,82.08,65,0,7.0
73,camana,PE,-16.62,-72.71,65.39,55,1,5.93
74,jawar,IN,23.0,76.5,83.26,76,100,4.97
75,torbay,CA,47.67,-52.73,64.44,93,90,10.29
76,brownsville,US,25.9,-97.5,80.53,88,1,9.17
77,provideniya,RU,64.38,-173.3,45.23,93,100,7.29
78,port alfred,ZA,-33.59,26.89,55.67,69,99,27.63
79,nishihara,JP,26.18,127.76,84.15,83,75,9.17
80,qaanaaq,GL,77.48,-69.36,41.18,73,78,9.01
81,waipawa,NZ,-41.41,175.52,40.98,100,8,1.12
82,lusambo,CD,-4.97,23.45,88.72,39,100,0.98
83,codrington,AU,-38.27,141.97,42.3,92,0,5.86
84,narsaq,GL,60.92,-46.05,48.2,87,75,8.05
85,gisborne,NZ,-38.65,178.0,50.0,89,90,1.01
86,new norfolk,AU,-42.78,147.06,45.64,71,29,1.92
87,nikolskoye,RU,59.7,30.79,65.03,52,20,13.42
88,katsuura,JP,35.13,140.3,75.58,88,75,16.11
89,belchatow,PL,51.37,19.36,73.38,46,84,1.12
90,kirakira,SB,-10.45,161.92,78.96,86,100,8.43
91,atuona,PF,-9.8,-139.03,79.52,77,1,17.98
92,yellowknife,CA,62.46,-114.35,53.22,100,90,17.22
93,nome,US,64.5,-165.41,46.94,81,40,3.36
94,vila,PT,42.03,-8.16,81.0,38,18,10.0
95,arraial do cabo,BR,-22.97,-42.03,74.46,83,75,17.22
96,longyearbyen,SJ,78.22,15.64,48.2,66,75,4.7
97,halifax,CA,44.65,-63.57,70.52,93,98,1.99
98,kindu,CD,-2.95,25.95,85.37,52,89,3.53
99,saskylakh,RU,71.92,114.08,64.22,67,92,10.2
100,hervey bay,AU,-25.3,152.85,55.0,57,0,5.01
101,khatanga,RU,71.97,102.5,62.01,69,99,4.14
102,ayagoz,KZ,47.97,80.44,69.26,62,95,16.15
103,flinders,AU,-34.58,150.86,53.73,84,92,8.01
104,loncoche,CL,-39.37,-72.63,33.87,100,90,3.36
105,darnah,LY,32.77,22.64,79.48,64,0,20.42
106,asadabad,IR,34.78,48.12,86.0,16,40,4.7
107,saquena,PE,-4.67,-73.52,78.57,84,13,0.2
108,bridlington,GB,54.08,-0.19,62.91,59,100,9.17
109,hithadhoo,MV,-0.6,73.08,85.68,63,21,2.08
110,brae,GB,60.4,-1.35,57.2,87,40,16.11
111,mikhaylovka,RU,50.06,43.24,78.24,64,100,14.23
112,palmer,US,42.16,-72.33,76.12,69,20,5.82
113,paka,MY,4.64,103.44,80.31,94,99,5.61
114,opuwo,NA,-18.06,13.84,82.24,11,0,13.2
115,necochea,AR,-38.55,-58.74,39.99,86,88,5.99
116,cuxhaven,DE,53.87,8.69,63.27,82,75,11.41
117,kuusamo,FI,65.97,29.18,55.4,76,75,5.82
118,ocampo,MX,21.65,-101.5,61.57,42,1,2.21
119,hobart,AU,-42.88,147.33,45.54,81,75,3.36
120,blythe,US,33.61,-114.6,89.78,7,1,5.82
121,butaritari,KI,3.07,172.79,82.35,71,100,6.15
122,korcula,HR,42.96,17.14,84.11,21,20,9.17
123,axim,GH,4.87,-2.24,78.93,71,100,13.58
124,pevek,RU,69.7,170.31,37.65,83,0,7.52
125,srandakan,ID,-7.94,110.25,77.16,86,0,7.81
126,mahebourg,MU,-20.41,57.7,75.2,78,40,6.93
127,dukat,RU,62.55,155.55,56.08,68,91,4.43
128,zorritos,PE,-3.68,-80.68,71.6,88,90,3.74
129,mmabatho,ZA,-25.85,25.63,57.2,22,0,16.11
130,melnikovo,RU,56.56,84.08,76.64,54,48,7.34
131,port blair,IN,11.67,92.75,81.81,80,100,7.96
132,qinzhou,CN,21.95,108.62,84.34,77,69,8.59
133,nouakchott,MR,18.09,-15.98,84.2,66,0,21.92
134,bengkulu,ID,-3.8,102.27,79.39,80,100,10.22
135,tiksi,RU,71.69,128.87,40.71,80,34,3.31
136,krasnogvardeyets,RU,52.68,52.36,93.11,41,0,10.56
137,luderitz,NA,-26.65,15.16,68.0,34,0,26.4
138,mayo,US,38.89,-76.51,78.19,61,1,8.05
139,deputatskiy,RU,69.3,139.9,50.67,91,92,4.52
140,garissa,KE,-0.45,39.64,89.37,37,9,21.43
141,chongwe,ZM,-15.33,28.68,79.16,18,0,9.46
142,cape town,ZA,-33.93,18.42,58.68,54,40,3.36
143,synya,RU,65.37,58.04,56.75,80,100,2.1
144,koslan,RU,63.46,48.9,61.27,95,99,2.24
145,lebu,CL,-37.62,-73.65,50.47,60,23,1.68
146,bubaque,GW,11.28,-15.83,80.44,81,100,11.41
147,margate,GB,51.38,1.39,67.68,69,100,1.01
148,sinop,TR,41.77,34.87,73.4,64,75,11.41
149,port-cartier,CA,50.03,-66.87,64.4,42,20,5.82
150,college,US,64.86,-147.8,51.98,100,90,3.36
151,kazaki,RU,52.62,38.26,68.59,90,100,9.13
152,charters towers,AU,-20.1,146.27,52.27,45,62,7.58
153,astana,KZ,51.18,71.45,79.23,54,45,8.01
154,santo angelo,BR,-28.3,-54.26,41.0,86,0,3.36
155,severo-kurilsk,RU,50.68,156.12,51.04,92,94,8.37
156,airai,TL,-8.93,125.41,54.93,94,1,3.76
157,virginia beach,US,36.85,-75.98,80.65,66,20,3.36
158,nanakuli,US,21.39,-158.15,72.73,73,75,3.36
159,upernavik,GL,72.79,-56.15,41.02,87,100,19.42
160,mount gambier,AU,-37.83,140.77,41.0,93,0,5.46
161,khasan,RU,42.43,130.64,62.64,87,0,2.35
162,castro,BR,-24.79,-50.01,62.64,83,15,3.87
163,fort nelson,CA,58.81,-122.7,55.4,82,20,6.35
164,waitara,NZ,-38.92,174.25,48.99,92,100,1.01
165,mahajanga,MG,-15.72,46.32,84.2,48,20,10.29
166,thompson,CA,55.74,-97.86,59.0,93,90,5.82
167,cidreira,BR,-30.18,-50.21,48.97,51,0,17.6
168,gunjur,GM,13.2,-16.73,82.4,78,75,3.36
169,sola,VU,-13.88,167.55,78.8,88,75,4.7
170,iskateley,RU,67.68,53.15,58.57,65,100,8.03
171,andenes,NO,69.31,16.12,62.6,72,0,9.17
172,jutai,BR,-5.18,-68.9,81.34,72,3,2.93
173,bam,IR,29.11,58.36,96.78,18,50,20.56
174,marawi,PH,8.0,124.29,78.01,90,77,5.01
175,semey,KZ,50.41,80.23,78.8,41,100,17.9
176,chiredzi,ZW,-21.05,31.67,83.52,13,0,8.63
177,isangel,VU,-19.55,169.27,69.8,94,90,4.7
178,wasilla,US,61.58,-149.44,47.61,93,1,1.32
179,bend,US,44.06,-121.32,50.11,57,1,5.82
180,voznesenye,RU,61.01,35.48,69.15,46,77,11.7
181,waddan,LY,29.16,16.14,97.2,17,0,9.62
182,lorengau,PG,-2.02,147.27,82.04,72,100,5.97
183,sitka,US,57.05,-135.33,55.4,82,90,16.11
184,abu zabad,SD,12.35,29.25,93.36,33,28,4.52
185,burnie,AU,-41.07,145.92,40.89,85,1,5.01
186,bad bramstedt,DE,53.92,9.88,62.94,85,100,8.95
187,kushmurun,KZ,52.45,64.63,84.72,42,0,8.61
188,ugoofaaru,MV,5.67,73.0,84.65,75,100,5.57
189,zeya,RU,53.75,127.27,76.21,50,37,3.0
190,avarua,CK,-21.21,-159.78,69.8,64,2,6.93
191,kaitangata,NZ,-46.28,169.85,44.01,85,67,1.99
192,champerico,GT,14.3,-91.92,73.4,88,20,3.6
193,lagoa,PT,39.05,-27.98,68.76,78,0,9.95
194,pisco,PE,-13.7,-76.22,59.56,87,90,4.7
195,mumford,GH,5.26,-0.76,77.23,78,90,17.67
196,richards bay,ZA,-28.78,32.04,66.31,60,54,10.96
197,grindavik,IS,63.84,-22.43,57.2,71,90,6.93
198,qui nhon,VN,13.77,109.23,81.32,87,76,8.66
199,bastia,FR,42.67,9.33,81.19,34,48,8.05
200,yamethin,MM,20.43,96.15,77.29,85,100,8.59
201,le vauclin,MQ,14.55,-60.84,82.13,83,1,10.29
202,mehamn,NO,71.04,27.85,48.2,81,75,10.29
203,karoi,ZW,-16.81,29.69,77.67,17,0,3.83
204,san andres,CO,12.58,-81.7,84.2,79,40,17.22
205,coihaique,CL,-45.58,-72.07,28.4,86,40,3.36
206,urusha,RU,54.05,122.9,69.53,65,98,1.79
207,port-gentil,GA,-0.72,8.78,78.8,78,90,14.76
208,palauig,PH,15.44,119.9,82.22,74,0,1.57
209,coaticook,CA,45.13,-71.8,65.93,77,75,10.29
210,san cristobal,VE,7.77,-72.22,86.0,37,40,14.99
211,kodiak,US,57.79,-152.41,51.8,81,1,9.17
212,santiago del estero,AR,-27.8,-64.26,54.36,44,0,6.11
213,lander,US,42.83,-108.73,55.24,58,1,6.93
214,aanekoski,FI,62.69,25.82,66.7,39,33,10.29
215,petropavlovsk-kamchatskiy,RU,53.05,158.65,50.0,100,90,4.47
216,san policarpo,PH,12.18,125.51,83.05,78,3,5.68
217,zheleznodorozhnyy,RU,55.75,38.0,67.06,77,75,15.66
218,dahegam,IN,23.17,72.82,89.6,75,75,6.93
219,oriximina,BR,-1.77,-55.87,86.18,58,75,3.96
220,pacifica,US,37.61,-122.49,53.94,82,20,5.82
221,sorong,ID,-0.88,131.25,77.45,89,100,8.59
222,belaya gora,RU,68.53,146.42,58.33,51,100,8.46
223,vestmannaeyjar,IS,63.44,-20.27,55.4,82,90,17.22
224,skelleftea,SE,64.75,20.95,65.35,59,51,8.05
225,encheng,CN,22.18,112.3,80.85,80,3,6.17
226,chuy,UY,-33.7,-53.46,44.91,59,0,14.34
227,maryville,US,35.76,-83.97,74.14,69,20,4.7
228,wagar,SD,16.15,36.2,101.7,21,3,6.89
229,saryozek,KZ,44.36,77.98,76.46,26,40,17.96
230,mogadishu,SO,2.04,45.34,77.0,73,75,19.46
231,bitung,ID,1.45,125.18,78.8,83,20,2.24
232,ancud,CL,-41.87,-73.82,39.61,100,100,4.7
233,ekhabi,RU,53.51,142.97,52.45,95,71,9.17
234,atikokan,CA,48.76,-91.62,65.08,83,94,4.25
235,hualmay,PE,-11.1,-77.61,66.0,72,14,8.3
236,san patricio,MX,19.22,-104.7,77.0,73,5,5.82
237,mareeba,AU,-17.0,145.43,57.9,67,26,5.01
238,bonavista,CA,48.65,-53.11,57.99,75,100,1.01
239,sibolga,ID,1.74,98.78,77.04,83,96,4.59
240,nha trang,VN,12.25,109.18,86.0,74,20,3.83
241,taoudenni,ML,22.68,-3.98,115.0,5,0,8.88
242,kalmunai,LK,7.42,81.82,85.55,67,80,19.28
243,padre bernardo,BR,-15.35,-48.5,84.25,18,0,6.15
244,cayenne,GF,4.93,-52.33,86.0,66,20,5.82
245,sioux lookout,CA,50.1,-91.92,64.4,82,90,11.41
246,rabo de peixe,PT,37.8,-25.58,77.0,61,20,8.05
247,talovaya,RU,51.11,40.73,71.65,79,97,15.82
248,pathein,MM,16.78,94.73,79.27,87,80,4.9
249,revelstoke,CA,50.98,-118.2,48.2,93,20,0.74
250,husavik,IS,66.04,-17.34,53.6,81,75,12.75
251,yemelyanovo,RU,56.17,92.68,75.2,53,23,8.95
252,severobaykalsk,RU,55.65,109.32,58.82,79,64,2.15
253,benjamin hill,MX,30.17,-111.1,78.49,81,0,13.04
254,kysyl-syr,RU,63.9,122.76,66.2,64,0,4.32
255,talnakh,RU,69.49,88.4,51.8,81,75,6.71
256,banjar,ID,-8.19,114.97,80.6,100,40,13.87
257,baruun-urt,MN,46.68,113.28,72.72,50,2,6.89
258,mongoumba,CF,3.64,18.59,81.61,63,100,4.14
259,beira,MZ,-19.84,34.84,77.0,65,0,10.29
260,jinan,CN,36.67,117.0,81.0,69,17,1.01
261,la romana,DO,18.43,-68.97,82.4,88,40,11.41
262,cap malheureux,MU,-19.98,57.61,73.0,74,0,10.0
263,roald,NO,62.58,6.13,60.85,72,13,9.17
264,zabol,AF,32.25,67.25,86.56,13,0,11.1
265,cap-aux-meules,CA,47.38,-61.86,57.2,87,90,19.46
266,fare,PF,-16.7,-151.02,79.68,79,94,10.02
267,lumberton,US,34.62,-79.01,79.07,78,1,6.06
268,posse,BR,-14.09,-46.37,81.75,26,18,6.71
269,rocha,UY,-34.48,-54.33,46.65,57,0,16.51
270,nyimba,ZM,-14.56,30.81,86.34,15,0,4.65
271,havre-saint-pierre,CA,50.23,-63.6,62.6,51,1,11.41
272,asyut,EG,27.18,31.18,98.6,25,0,11.41
273,alofi,NU,-19.06,-169.92,71.6,73,79,11.41
274,bud,US,39.45,-86.18,71.8,68,1,5.32
275,kavieng,PG,-2.57,150.8,82.13,71,100,6.58
276,lodja,CD,-3.48,23.43,87.48,45,93,0.89
277,nivala,FI,63.92,24.97,60.01,79,51,11.99
278,tasiilaq,GL,65.61,-37.64,46.4,75,75,4.7
279,hamilton,US,39.18,-84.53,71.65,83,20,4.45
280,bourail,NC,-21.57,165.48,69.98,72,100,3.96
281,carnarvon,AU,-24.87,113.63,66.2,88,0,11.41
282,itanhem,BR,-17.17,-40.33,80.02,61,31,0.6
283,ust-nera,RU,64.57,143.2,63.99,64,96,4.54
284,sao joao da barra,BR,-21.64,-41.05,77.0,73,0,18.34
285,san rafael del sur,NI,11.85,-86.44,75.2,94,75,4.7
286,mount isa,AU,-20.73,139.5,51.8,32,0,5.82
287,buraydah,SA,26.33,43.98,111.2,14,0,16.11
288,ostrovnoy,RU,68.05,39.51,51.48,70,0,8.86
289,xining,CN,36.62,101.77,65.03,64,93,2.01
290,varzelandia,BR,-15.7,-44.03,80.55,38,5,5.61
291,kieta,PG,-6.22,155.63,78.33,76,98,2.66
292,namibe,AO,-15.2,12.15,68.0,82,75,9.75
293,porto novo,BJ,6.5,2.6,82.4,74,40,18.34
294,guerrero negro,MX,27.98,-114.06,69.78,80,0,8.57
295,zhangye,CN,38.93,100.45,83.14,24,36,7.58
296,hinton,CA,53.4,-117.59,53.76,53,15,7.54
297,los llanos de aridane,ES,28.66,-17.92,72.72,65,6,18.34
298,saint-georges,GD,12.06,-61.75,87.8,70,20,16.11
299,burma,MM,22.0,98.0,70.99,92,62,3.56
300,manokwari,ID,-0.87,134.08,79.56,77,60,7.74
301,esperance,AU,-33.87,121.9,48.2,81,0,9.17
302,jacareacanga,BR,-6.22,-57.75,75.2,100,90,2.24
303,eagle pass,US,28.71,-100.5,79.0,72,0,4.0
304,victoria,HK,22.29,114.16,85.96,66,28,13.0
305,moose factory,CA,51.26,-80.61,66.2,77,1,2.24
306,la ronge,CA,55.1,-105.28,55.4,93,90,11.41
307,santa barbara,US,34.42,-119.7,58.86,87,90,9.17
308,palmeiras de goias,BR,-16.8,-49.93,83.77,27,93,5.84
309,saint george,US,37.1,-113.58,84.63,20,1,11.41
310,beringovskiy,RU,63.05,179.32,47.82,95,50,1.86
311,winnemucca,US,40.97,-117.74,62.6,27,1,8.05
312,yulara,AU,-25.24,130.99,48.2,36,1,5.82
313,atar,MR,20.52,-13.05,100.4,19,0,9.17
314,ponta do sol,PT,32.67,-17.1,76.78,54,20,23.04
315,mitsamiouli,KM,-11.38,43.28,84.2,66,20,14.99
316,aswan,EG,24.09,32.91,104.2,7,0,5.93
317,chapais,CA,49.78,-74.85,64.4,72,1,5.82
318,rawson,AR,-43.3,-65.1,39.51,70,75,7.96
319,aykhal,RU,66.0,111.5,73.4,43,0,4.47
320,harper,LR,4.38,-7.72,77.54,73,34,11.21
321,hamina,FI,60.57,27.2,66.67,59,18,5.82
322,eina,NO,60.63,10.6,54.73,92,100,3.0
323,matara,LK,5.95,80.54,80.62,86,97,7.27
324,ossora,RU,59.24,163.07,52.32,92,100,4.97
325,alta gracia,AR,-31.65,-64.43,43.09,48,0,1.12
326,berdigestyakh,RU,62.1,126.7,64.0,55,0,3.94
327,ust-tsilma,RU,65.44,52.15,52.03,95,100,6.85
328,kalaleh,IR,37.38,55.49,93.2,44,75,13.87
329,dzaoudzi,YT,-12.79,45.27,82.4,65,40,11.41
330,yasenskaya,RU,46.36,38.27,73.33,64,0,17.98
331,filingue,NE,14.35,3.32,93.96,40,93,9.22
332,aripuana,BR,-9.17,-60.63,88.12,42,0,2.75
333,bandar-e lengeh,IR,26.56,54.88,102.2,42,0,4.7
334,finschhafen,PG,-6.6,147.87,78.91,77,99,6.42
335,adre,TD,13.47,22.2,86.49,44,54,13.58
336,yangambi,CD,0.81,24.43,79.41,80,92,1.95
337,kahului,US,20.89,-156.47,71.37,83,75,9.17
338,lumeje,AO,-11.55,20.78,84.85,14,0,10.36
339,zhangjiakou,CN,40.81,114.88,71.31,59,0,3.4
340,muravlenko,RU,63.79,74.52,61.12,59,63,13.53
341,deggendorf,DE,48.83,12.97,73.49,45,100,2.42
342,warrnambool,AU,-38.38,142.48,45.0,94,0,8.81
343,vlasinesti,RO,47.93,26.88,66.78,48,20,9.17
344,stanislav,UA,46.57,32.15,75.2,29,20,20.13
345,pangai,TO,-19.8,-174.35,73.4,69,75,19.46
346,kitui,KE,-1.37,38.01,78.35,38,52,11.86
347,bilibino,RU,68.05,166.44,49.19,67,99,5.03
348,ola,RU,59.58,151.28,51.28,93,100,1.63
349,hinganghat,IN,20.57,78.83,78.8,94,75,3.36
350,buchanan,LR,5.88,-10.05,78.8,78,75,10.29
351,hovd,MN,48.01,91.64,58.28,60,88,6.26
352,san lucas,MX,16.6,-92.72,73.4,88,75,2.24
353,ponta delgada,PT,37.73,-25.67,77.0,61,20,8.05
354,madison,US,34.73,-86.57,74.93,83,20,1.52
355,medvedka,RU,61.16,46.39,75.67,65,63,7.94
356,prince rupert,CA,54.32,-130.32,55.4,87,90,6.93
357,nemuro,JP,43.32,145.57,55.08,92,42,6.35
358,faribault,US,44.3,-93.27,72.36,88,90,8.05
359,hofn,IS,64.25,-15.21,52.81,80,100,8.39
360,buala,SB,-8.14,159.59,81.05,80,100,6.93
361,domoni,KM,-12.26,44.53,77.23,70,61,7.94
362,touros,BR,-5.2,-35.46,82.4,69,40,8.05
363,paithan,IN,19.48,75.38,81.81,76,100,6.53
364,lakatoro,VU,-16.1,167.42,73.4,94,20,7.38
365,sorland,NO,67.67,12.69,56.53,82,0,10.29
366,ilulissat,GL,69.22,-51.1,42.8,81,75,5.82
367,heilbron,ZA,-27.28,27.97,45.32,51,0,17.78
368,kil,SE,59.51,13.31,55.06,100,100,5.82
369,never,FR,46.99,3.16,77.0,36,71,11.41
370,bethel,US,41.37,-73.41,73.36,64,1,5.82
371,rosetta,EG,31.4,30.42,87.8,55,0,11.41
372,oranjemund,NA,-28.55,16.43,59.97,52,2,16.11
373,yar-sale,RU,66.83,70.83,59.54,49,70,12.62
374,beboto,TD,8.27,16.94,78.51,73,100,3.62
375,gorin,RU,51.2,136.67,61.41,83,0,2.35
376,vila velha,BR,-20.33,-40.29,81.19,54,0,4.7
377,mazatlan,MX,23.22,-106.42,83.14,88,90,3.96
378,novyye burasy,RU,52.13,46.07,87.49,48,94,12.03
379,olinda,BR,-8.01,-34.86,82.4,69,40,10.29
380,jaroslaw,PL,50.02,22.68,69.66,52,2,6.42
381,murwara,IN,23.85,80.4,86.23,65,44,5.03
382,san joaquin,VE,10.26,-67.79,81.21,69,0,2.19
383,alyangula,AU,-13.85,136.42,69.8,83,40,1.12
384,benghazi,LY,32.12,20.07,82.87,60,0,18.88
385,cuamba,MZ,-14.8,36.54,83.39,26,92,1.23
386,verkhnevilyuysk,RU,63.45,120.32,65.08,70,82,2.01
387,padang,ID,-0.95,100.35,80.35,71,100,4.14
388,kaeo,NZ,-35.1,173.78,52.0,3,100,1.01
389,ukiah,US,39.15,-123.21,59.94,67,1,1.52
390,bose,IT,45.46,8.01,76.64,53,100,4.14
391,kocevje,SI,45.64,14.86,75.31,35,11,1.99
392,geraldton,AU,-28.77,114.6,55.4,82,40,5.82
393,sistranda,NO,63.73,8.83,66.6,55,40,3.36
394,miri,MY,4.41,114.01,80.31,94,40,3.36
395,muzhi,RU,65.37,64.67,67.86,54,100,3.78
396,hay river,CA,60.82,-115.8,51.8,100,90,18.34
397,chicama,PE,-7.84,-79.15,70.27,64,5,5.21
398,batticaloa,LK,7.71,81.69,86.07,70,100,13.94
399,smithers,CA,54.78,-127.17,46.4,87,75,0.4
400,pierre,US,44.37,-100.35,58.14,93,90,4.99
401,gasa,PS,31.5,34.47,87.53,56,0,5.01
402,gat,IL,31.61,34.76,86.81,57,0,3.0
403,bergerac,FR,44.83,0.5,80.28,39,80,8.05
404,chimbote,PE,-9.09,-78.58,65.75,76,0,7.27
405,grand-santi,GF,4.25,-54.38,87.4,56,0,2.55
406,lichinga,MZ,-13.31,35.24,76.03,50,63,13.87
407,pasir gudang,MY,1.46,103.88,80.91,83,75,3.36
408,wagrowiec,PL,52.81,17.2,77.67,35,27,5.99
409,redmond,US,47.67,-122.12,49.95,94,0,1.28
410,saint anthony,US,45.02,-93.22,71.67,88,75,9.17
411,verkhnyaya inta,RU,65.98,60.31,63.84,59,100,5.3
412,ivybridge,GB,50.39,-3.92,67.62,66,96,4.0
413,huarmey,PE,-10.07,-78.15,67.21,71,3,7.99
414,mogocha,RU,53.73,119.77,68.14,63,4,2.3
415,salinas,US,36.68,-121.66,56.93,77,90,5.82
416,shakawe,BW,-18.37,21.85,81.07,12,0,9.57
417,birao,CF,10.28,22.79,80.8,79,94,3.98
418,yeppoon,AU,-23.13,150.73,57.2,47,0,6.93
419,majene,ID,-3.54,118.97,79.12,83,90,13.33
420,onega,RU,63.91,38.14,58.66,84,89,3.71
421,am timan,TD,11.03,20.28,81.27,73,100,9.66
422,biltine,TD,14.53,20.92,93.27,36,49,8.52
423,bustamante,MX,26.53,-100.5,84.97,42,0,4.76
424,czersk,PL,53.8,17.98,73.99,45,51,8.99
425,colares,PT,38.8,-9.45,81.12,44,4,26.4
426,lasa,IT,46.62,10.7,63.52,72,40,8.05
427,tabuny,RU,52.78,78.79,77.65,63,24,7.38
428,ahuimanu,US,21.44,-157.84,72.34,88,90,5.82
429,cascais,PT,38.7,-9.42,81.12,44,0,26.4
430,beatrice,US,40.27,-96.75,72.9,88,1,8.72
431,san quintin,MX,30.48,-115.95,67.53,85,21,9.55
432,seybaplaya,MX,19.65,-90.67,75.2,94,5,9.17
433,brigham city,US,41.51,-112.02,59.05,41,1,3.24
434,kutum,SD,14.2,24.67,91.92,19,5,8.88
435,olga,RU,43.74,135.29,56.91,93,10,5.59
436,yerbogachen,RU,61.28,108.01,66.22,65,81,3.24
437,whitehorse,CA,60.72,-135.05,48.36,71,75,12.75
438,vila franca do campo,PT,37.72,-25.43,77.0,61,20,8.05
439,saint-pierre,RE,-21.34,55.48,71.58,69,2,8.05
440,kisangani,CD,0.52,25.2,84.2,66,75,4.7
441,kautokeino,NO,69.01,23.04,62.78,42,58,11.45
442,kruisfontein,ZA,-34.0,24.73,51.01,70,93,21.74
443,vostok,RU,46.49,135.88,57.22,99,0,3.36
444,te anau,NZ,-45.42,167.72,38.64,84,91,0.47
445,hazorasp,UZ,41.32,61.07,102.2,16,0,11.41
446,portland,US,45.52,-122.68,53.89,82,1,3.36
447,mackenzie,CA,55.3,-123.17,46.4,93,75,3.36
448,dingle,PH,11.0,122.67,78.66,86,38,2.48
449,vardo,NO,70.37,31.11,48.2,87,75,14.99
450,miami,US,25.77,-80.19,86.72,66,75,4.43
451,savannah bight,HN,16.45,-85.85,82.74,76,86,12.01
